2fabs(J - Jold),231842
3fabs(J - Jold),114783
4fabs(J - Jold),242483
5fabs(J - Jold),105456
6fabs(J - Jold),71832.2
7fabs(J - Jold),120212
8fabs(J - Jold),50610.5
9fabs(J - Jold),36480.7
10fabs(J - Jold),61533.6
11fabs(J - Jold),26523.3
12fabs(J - Jold),15258
13fabs(J - Jold),28745.3
14fabs(J - Jold),13892.6
15fabs(J - Jold),6127.97
16fabs(J - Jold),13819.3
17fabs(J - Jold),7931.01
18fabs(J - Jold),1405.27
19fabs(J - Jold),5645.27
20fabs(J - Jold),3570.17
21fabs(J - Jold),430.557
22fabs(J - Jold),2528.02
23fabs(J - Jold),1737.99
24fabs(J - Jold),64.5401
25fabs(J - Jold),901.631
26fabs(J - Jold),628.199
27fabs(J - Jold),100.119
28fabs(J - Jold),140.476
29fabs(J - Jold),15.7211
30fabs(J - Jold),88.1521
31fabs(J - Jold),59.1342
32fabs(J - Jold),114.056
33fabs(J - Jold),245.485
34fabs(J - Jold),246.57
35fabs(J - Jold),188.243
36fabs(J - Jold),186.206
37fabs(J - Jold),143.07
38fabs(J - Jold),123.565
39fabs(J - Jold),124.451
40fabs(J - Jold),114.373
41fabs(J - Jold),163.472
42fabs(J - Jold),167.843
43fabs(J - Jold),131.863
44fabs(J - Jold),91.1707
45fabs(J - Jold),77.2649
46fabs(J - Jold),81.5041
47fabs(J - Jold),105.677
48fabs(J - Jold),113.702
49fabs(J - Jold),74.6543
50fabs(J - Jold),40.8069
51fabs(J - Jold),35.0483
52fabs(J - Jold),49.9768
53fabs(J - Jold),59.7723
54fabs(J - Jold),55.5522
55fabs(J - Jold),36.1439
56fabs(J - Jold),12.963
57fabs(J - Jold),9.49469
58fabs(J - Jold),26.6135
59fabs(J - Jold),0.674249
60fabs(J - Jold),4.01977
61fabs(J - Jold),2.07936
62fabs(J - Jold),4.07886
63fabs(J - Jold),4.15395
64fabs(J - Jold),0.623576
65fabs(J - Jold),27.7407
66fabs(J - Jold),22.3358
67fabs(J - Jold),7.52229
68fabs(J - Jold),15.5086
69fabs(J - Jold),34.994
70fabs(J - Jold),29.1294
71fabs(J - Jold),27.8443
72fabs(J - Jold),16.3133
73fabs(J - Jold),12.4882
74fabs(J - Jold),22.2313
75fabs(J - Jold),35.8156
76fabs(J - Jold),27.7375
77fabs(J - Jold),26.7641
78fabs(J - Jold),26.2841
79fabs(J - Jold),22.5029
80fabs(J - Jold),2.61376
81fabs(J - Jold),1.35634
82fabs(J - Jold),15.0979
83fabs(J - Jold),39.1505
84fabs(J - Jold),53.9224
85fabs(J - Jold),45.3704
86fabs(J - Jold),27.9744
87fabs(J - Jold),11.5263
88fabs(J - Jold),0.389278
89fabs(J - Jold),3.69161
90fabs(J - Jold),4.89692
91fabs(J - Jold),9.54584
92fabs(J - Jold),13.1552
93fabs(J - Jold),13.1274
94fabs(J - Jold),13.5456
95fabs(J - Jold),2.09302
96fabs(J - Jold),26.4469
97fabs(J - Jold),14.8042
98fabs(J - Jold),85.8331
99fabs(J - Jold),96.8801
100fabs(J - Jold),53.901
101fabs(J - Jold),40.3969
102fabs(J - Jold),14.7725
103fabs(J - Jold),0.571428
104fabs(J - Jold),2.16588
105fabs(J - Jold),2.58716
106fabs(J - Jold),45.9198
107fabs(J - Jold),37.2515
108fabs(J - Jold),7.69118
109fabs(J - Jold),45.9672
110fabs(J - Jold),62.1953
111fabs(J - Jold),7.73889
112fabs(J - Jold),14.1193
113fabs(J - Jold),3.6539
114fabs(J - Jold),22.9599
115fabs(J - Jold),31.9225
116fabs(J - Jold),31.3597
117fabs(J - Jold),13.6438
118fabs(J - Jold),41.0787
119fabs(J - Jold),59.1701
120fabs(J - Jold),17.8632
121fabs(J - Jold),22.7502
122fabs(J - Jold),76.4526
123fabs(J - Jold),66.4111
124fabs(J - Jold),29.2859
125fabs(J - Jold),90.778
126fabs(J - Jold),163.708
127fabs(J - Jold),88.6952
128fabs(J - Jold),35.8463
129fabs(J - Jold),99.5495
130fabs(J - Jold),67.2657
131fabs(J - Jold),4.92295
132fabs(J - Jold),18.4398
133fabs(J - Jold),0.480286
134fabs(J - Jold),45.0052
135fabs(J - Jold),71.9449
136fabs(J - Jold),53.9832
137fabs(J - Jold),9.71986
138fabs(J - Jold),61.9966
139fabs(J - Jold),100.552
140fabs(J - Jold),86.6563
141fabs(J - Jold),26.5612
142fabs(J - Jold),32.29
143fabs(J - Jold),71.9805
144fabs(J - Jold),71.7619
145fabs(J - Jold),39.5723
146fabs(J - Jold),4.17773
147fabs(J - Jold),7.66161
148fabs(J - Jold),3.74901
149fabs(J - Jold),4.61005
150fabs(J - Jold),8.10066
151fabs(J - Jold),7.48377
152fabs(J - Jold),4.83899
153fabs(J - Jold),62.2009
154fabs(J - Jold),58.1514
155fabs(J - Jold),2.48284
156fabs(J - Jold),36.4817
157fabs(J - Jold),61.7744
158fabs(J - Jold),56.8733
159fabs(J - Jold),29.0213
160fabs(J - Jold),1.72756
161fabs(J - Jold),14.4507
162fabs(J - Jold),13.978
163fabs(J - Jold),110.857
164fabs(J - Jold),188.348
165fabs(J - Jold),190.847
166fabs(J - Jold),91.2265
167fabs(J - Jold),83.9312
168fabs(J - Jold),192.986
169fabs(J - Jold),154.584
170fabs(J - Jold),37.5453
171fabs(J - Jold),30.6464
172fabs(J - Jold),28.2716
173fabs(J - Jold),17.6639
174fabs(J - Jold),55.7756
175fabs(J - Jold),60.1635
176fabs(J - Jold),20.7368
177fabs(J - Jold),96.7273
178fabs(J - Jold),99.5619
179fabs(J - Jold),54.0711
180fabs(J - Jold),6.48686
181fabs(J - Jold),63.4858
182fabs(J - Jold),79.9731
183fabs(J - Jold),64.9091
184fabs(J - Jold),31.7735
185fabs(J - Jold),2.65675
186fabs(J - Jold),4.30504
187fabs(J - Jold),0.258793
188fabs(J - Jold),9.14597
189fabs(J - Jold),16.2167
190fabs(J - Jold),14.7784
191fabs(J - Jold),8.48678
192fabs(J - Jold),14.8337
193fabs(J - Jold),73.6546
194fabs(J - Jold),59.3867
195fabs(J - Jold),2.76918
196fabs(J - Jold),44.9396
197fabs(J - Jold),66.1682
198fabs(J - Jold),54.5748
199fabs(J - Jold),26.5154
200fabs(J - Jold),1.8082
201fabs(J - Jold),6.98611
202fabs(J - Jold),7.80929
203fabs(J - Jold),1.62964
204fabs(J - Jold),0.661174
205fabs(J - Jold),3.07253
206fabs(J - Jold),5.79319
207fabs(J - Jold),3.75524
208fabs(J - Jold),35.3699
209fabs(J - Jold),40.3442
210fabs(J - Jold),10.0093
211fabs(J - Jold),21.2222
212fabs(J - Jold),40.347
213fabs(J - Jold),37.4837
214fabs(J - Jold),18.7363
215fabs(J - Jold),0.189012
216fabs(J - Jold),9.80144
217fabs(J - Jold),9.04108
218fabs(J - Jold),0.816396
219fabs(J - Jold),1.05584
220fabs(J - Jold),3.31537
221fabs(J - Jold),3.23685
222fabs(J - Jold),1.25595
223fabs(J - Jold),14.444
224fabs(J - Jold),23.7077
225fabs(J - Jold),15.9086
226fabs(J - Jold),0.180843
227fabs(J - Jold),17.1018
228fabs(J - Jold),22.3549
229fabs(J - Jold),15.5847
230fabs(J - Jold),4.48622
231fabs(J - Jold),1.495
232fabs(J - Jold),7.43664
233fabs(J - Jold),3.53347
234fabs(J - Jold),0.0640617
235fabs(J - Jold),1.07626
236fabs(J - Jold),2.40876
